GPS Waypoint,Height,Width ,Activity,Environment,Direction compared to tide,Part,Count,Elevation,Date Created,Oval Area_mm2,Longitude,Latitude
887,56,44.11,2,Dunes,down,South Beach,1,-4 m,"2018-10-21, 10:01 AM",1940.059127,-81.26455301,31.39024498
888,41.5,30.71,2,Dunes,down,South Beach,1,3 m,"2018-10-21, 10:04 AM",1000.96247,-81.26469098,31.39021698
889,31.31,27.21,2,Dunes,down,South Beach,1,2 m,"2018-10-21, 10:06 AM",669.1161169,-81.26469903,31.39021698
890,31.2,30.34,2,Dunes,up left,South Beach,1,2 m,"2018-10-21, 10:09 AM",743.4641847,-81.26468,31.39014096
891,20.31,16.71,3,Beach,left,South Beach,1,2 m,"2018-10-21, 10:13 AM",266.5485072,-81.26476801,31.38991599
892,21,26.98,2,Dunes,up,South Beach,1,3 m,"2018-10-21, 10:16 AM",444.9908914,-81.26460398,31.38982496
893,44.12,40.9,1,Beach,left,South Beach,1,1 m,"2018-10-21, 10:18 AM",1417.257269,-81.26466902,31.38982404
894,37.74,42.22,3,Beach,down right,South Beach,1,-0 m,"2018-10-21, 10:22 AM",1251.439925,-81.26463398,31.38972899
895,34.84,34.84,2,Beach,up left,South Beach,1,2 m,"2018-10-21, 10:28 AM",953.3363969,-81.26454002,31.38967602
896,34.62,45.42,3,Beach,down righ,South Beach,1,1 m,"2018-10-21, 10:30 AM",1234.991802,-81.26464999,31.38971901
897,52.58,57.1,2,Beach,up,South Beach,1,1 m,"2018-10-21, 10:33 AM",2358.015043,-81.26476298,31.38973997
898,29,21,3,Dunes,up right,South Beach,1,1 m,"2018-10-21, 10:35 AM",478.3074815,-81.26497597,31.38978297
899,20.81,20.11,1,Beach,down left,South Beach,1,0 m,"2018-10-21, 10:39 AM",328.6805705,-81.26479198,31.389716
900,10.02,10.04,3,Beach,down,South Beach,1,2 m,"2018-10-21, 10:41 AM",79.01168356,-81.264781,31.38968901
901,23.66,17.66,3,Beach,up left,South Beach,1,1 m,"2018-10-21, 10:43 AM",328.1673128,-81.26474203,31.38967702
902,40.2,43.8,2,Beach,up left,South Beach,1,1 m,"2018-10-21, 10:45 AM",1382.89767,-81.26474102,31.389659
903,44.8,44.8,1,Beach,up right,South Beach,1,2 m,"2018-10-21, 10:47 AM",1576.32553,-81.26467799,31.38966202
904,57.84,62.32,3,Beach,down left,South Beach,1,2 m,"2018-10-21, 10:49 AM",2831.037423,-81.26457003,31.38961701
905,24,21.18,3,Beach,down left,South Beach,1,2 m,"2018-10-21, 10:51 AM",399.2335944,-81.26467899,31.38960301
906,15.34,14.08,3,Beach,down right,South Beach,1,-0 m,"2018-10-21, 10:53 AM",169.6359502,-81.26471403,31.38960997
907,31.52,17.21,3,Beach,left,South Beach,1,4 m,"2018-10-21, 10:56 AM",426.0464594,-81.26479399,31.389615
908,25.45,26.72,1,Beach,up left,South Beach,1,2 m,"2018-10-21, 10:57 AM",534.0896007,-81.26480397,31.38961902
909,42.9,45.92,1,Beach,down left,South Beach,1,1 m,"2018-10-21, 10:58 AM",1547.209249,-81.264823,31.38961399
910,25.04,10.82,2,Beach,up left,South Beach,1,3 m,"2018-10-21, 10:59 AM",212.7901235,-81.26484001,31.38960896
911,30.86,26.8,3,Beach,down right,South Beach,1,2 m,"2018-10-21, 11:00 AM",649.5619802,-81.26483599,31.38959899
912,32.64,36.74,3,Beach,up right,South Beach,1,0 m,"2018-10-21, 11:02 AM",941.844451,-81.26484202,31.38963101
913,42.68,42.68,1,Dunes,up right,South Beach,1,2 m,"2018-10-21, 11:04 AM",1430.667471,-81.26494604,31.38969697
914,45.4,64.78,1,Dunes,down left,South Beach,1,2 m,"2018-10-21, 11:04 AM",2309.865423,-81.26496599,31.38969404
915,28.38,32.02,2,Beach,up right,South Beach,1,2 m,"2018-10-21, 11:07 AM",713.7129881,-81.26487203,31.389602
916,40.78,46.52,1,Beach,down right,South Beach,1,1 m,"2018-10-21, 11:09 AM",1489.967546,-81.26482601,31.38957803
917,42.52,42.78,1,Beach,up left,South Beach,1,3 m,"2018-10-21, 11:10 AM",1428.643657,-81.26480699,31.38955004
918,24.05,20.16,2,Beach,left,South Beach,1,2 m,"2018-10-21, 11:11 AM",380.7987287,-81.26477103,31.38953998
919,40.08,46.48,2,Beach,left,South Beach,1,1 m,"2018-10-21, 11:13 AM",1463.13269,-81.26478503,31.389529
920,10.38,10.04,3,Beach,right,South Beach,1,-2 m,"2018-10-21, 11:15 AM",81.85042668,-81.26486599,31.389543
921,21.14,34.42,3,Beach,up left,South Beach,1,1 m,"2018-10-21, 11:16 AM",571.4861771,-81.26488804,31.38953403
922,24.12,20.18,0,Dunes,up,South Beach,1,1 m,"2018-10-21, 11:18 AM",382.2859587,-81.265011,31.38963302
923,27.32,21.52,3,Dunes,down right,South Beach,1,2 m,"2018-10-21, 11:20 AM",461.7563148,-81.26515802,31.38972304
924,61.88,66.88,3,Dunes,up left,South Beach,1,2 m,"2018-10-21, 11:22 AM",3250.397317,-81.26513598,31.38969898
925,50.34,36.42,3,Dunes,down left,South Beach,1,2 m,"2018-10-21, 11:24 AM",1439.935484,-81.26509901,31.38968197
926,56.48,26.38,2,Dunes,up left,South Beach,1,2 m,"2018-10-21, 11:25 AM",1170.198025,-81.26511603,31.38965003
927,15.98,10.56,1,Beach,down left,South Beach,1,3 m,"2018-10-21, 11:27 AM",132.5349976,-81.26483096,31.38946999
928,40.7,40.7,1,Beach,down right,South Beach,1,1 m,"2018-10-21, 11:28 AM",1301.004204,-81.26481696,31.38945297
929,50.72,40.22,0,Beach,up right,South Beach,1,-2 m,"2018-10-21, 11:28 AM",1602.179581,-81.26482601,31.38943302
