OBJECTID,GPS_Waypoint,Height,Width,Activity,Environment,Direction,Part,Count,Latitude,Longitude,Elevation,Date_Created,Oval_Area_mm2,Lon_DMS,Lat_DMS,Dist_near_burrow,Dist_near_tideline
1,887,56,44.11,2,Dunes,D,South Beach,1,N31́ 23.415' ,W81́ 15.873',-4,"2018-10-21, 10:01 AM",1940.059127,-81.26455301,31.39024498,13.48498978,79.11652904
2,888,42,30.71,2,Dunes,D,South Beach,1,N31́ 23.413' ,W81́ 15.881',3,"2018-10-21, 10:04 AM",1000.96247,-81.26469098,31.39021698,0.765660866,89.42463348
3,889,31,27.21,2,Dunes,D,South Beach,1,N31́ 23.413' ,W81́ 15.882',2,"2018-10-21, 10:06 AM",669.1161169,-81.26469903,31.39021698,0.765660866,90.10784029
4,890,31,30.34,2,Dunes,U-L,South Beach,1,N31́ 23.408' ,W81́ 15.881',2,"2018-10-21, 10:09 AM",743.4641847,-81.26468,31.39014096,8.493259772,84.6877951
5,891,20,16.71,3,Beach,L,South Beach,1,N31́ 23.395' ,W81́ 15.886',2,"2018-10-21, 10:13 AM",266.5485072,-81.26476801,31.38991599,13.87757057,80.89704209
6,892,21,26.98,2,Dunes,U,South Beach,1,N31́ 23.389' ,W81́ 15.876',3,"2018-10-21, 10:16 AM",444.9908914,-81.26460398,31.38982496,6.187026107,62.41945528
7,893,44,40.9,1,Beach,L,South Beach,1,N31́ 23.389' ,W81́ 15.880',1,"2018-10-21, 10:18 AM",1417.257269,-81.26466902,31.38982404,6.187026107,67.89340029
8,894,38,42.22,3,Beach,D-R,South Beach,1,N31́ 23.384' ,W81́ 15.878',0,"2018-10-21, 10:22 AM",1251.439925,-81.26463398,31.38972899,1.882356871,60.16207268
9,895,35,34.84,2,Beach,U-L,South Beach,1,N31́ 23.381' ,W81́ 15.872',2,"2018-10-21, 10:28 AM",953.3363969,-81.26454002,31.38967602,7.138323901,49.5363449
10,896,35,45.42,3,Beach,D-R,South Beach,1,N31́ 23.383' ,W81́ 15.879',1,"2018-10-21, 10:30 AM",1234.991802,-81.26464999,31.38971901,1.88235687,61.02133436
11,897,53,57.1,2,Beach,U,South Beach,1,N31́ 23.384' ,W81́ 15.886',1,"2018-10-21, 10:33 AM",2358.015043,-81.26476298,31.38973997,3.830349358,71.65998374
12,898,29,21,3,Dunes,U-R,South Beach,1,N31́ 23.387' ,W81́ 15.899',1,"2018-10-21, 10:35 AM",478.3074815,-81.26497597,31.38978297,9.905804873,91.88886749
13,899,21,20.11,1,Beach,D-L,South Beach,1,N31́ 23.383' ,W81́ 15.888',0,"2018-10-21, 10:39 AM",328.6805705,-81.26479198,31.389716,3.169543833,72.92149245
14,900,10,10.04,3,Beach,D,South Beach,1,N31́ 23.381' ,W81́ 15.887',2,"2018-10-21, 10:41 AM",79.01168356,-81.264781,31.38968901,3.169543833,70.63870611
15,901,24,17.66,3,Beach,U-L,South Beach,1,N31́ 23.381' ,W81́ 15.885',1,"2018-10-21, 10:43 AM",328.1673128,-81.26474203,31.38967702,2.000296973,66.73116262
16,902,40,43.8,2,Beach,U-L,South Beach,1,N31́ 23.380' ,W81́ 15.884',1,"2018-10-21, 10:45 AM",1382.89767,-81.26474102,31.389659,2.000296973,65.74350504
17,903,45,44.8,1,Beach,U-R,South Beach,1,N31́ 23.380' ,W81́ 15.881',2,"2018-10-21, 10:47 AM",1576.32553,-81.26467799,31.38966202,6.004361321,60.54524844
18,904,58,62.32,3,Beach,D-L,South Beach,1,N31́ 23.377' ,W81́ 15.874',2,"2018-10-21, 10:49 AM",2831.037423,-81.26457003,31.38961701,7.138323902,49.12973831
19,905,24,21.18,3,Beach,D-L,South Beach,1,N31́ 23.376' ,W81́ 15.881',2,"2018-10-21, 10:51 AM",399.2335944,-81.26467899,31.38960301,3.420962363,57.67654454
20,906,15,14.08,3,Beach,D-R,South Beach,1,N31́ 23.377' ,W81́ 15.883',0,"2018-10-21, 10:53 AM",169.6359502,-81.26471403,31.38960997,3.420962363,60.99878554
21,907,32,17.21,3,Beach,L,South Beach,1,N31́ 23.377' ,W81́ 15.888',4,"2018-10-21, 10:56 AM",426.0464594,-81.26479399,31.389615,1.048673423,68.03683063
22,908,25,26.72,1,Beach,U-L,South Beach,1,N31́ 23.377' ,W81́ 15.888',2,"2018-10-21, 10:57 AM",534.0896007,-81.26480397,31.38961902,1.048673423,69.08505215
23,909,43,45.92,1,Beach,D-L,South Beach,1,N31́ 23.377' ,W81́ 15.889',1,"2018-10-21, 10:58 AM",1547.209249,-81.264823,31.38961399,1.711312223,70.44838573
24,910,25,10.82,2,Beach,U-L,South Beach,1,N31́ 23.377' ,W81́ 15.890',3,"2018-10-21, 10:59 AM",212.7901235,-81.26484001,31.38960896,1.169694374,71.64028017
25,911,31,26.8,3,Beach,D-R,South Beach,1,N31́ 23.376' ,W81́ 15.890',2,"2018-10-21, 11:00 AM",649.5619802,-81.26483599,31.38959899,1.169694374,70.8000806
26,912,33,36.74,3,Beach,U-R,South Beach,1,N31́ 23.378' ,W81́ 15.891',0,"2018-10-21, 11:02 AM",941.844451,-81.26484202,31.38963101,2.45228333,72.91451663
27,913,43,42.68,1,Dunes,U-R,South Beach,1,N31́ 23.382' ,W81́ 15.897',2,"2018-10-21, 11:04 AM",1430.667471,-81.26494604,31.38969697,1.925126693,85.04422075
28,914,45,64.78,1,Dunes,D-L,South Beach,1,N31́ 23.382' ,W81́ 15.898',2,"2018-10-21, 11:04 AM",2309.865423,-81.26496599,31.38969404,1.925126693,86.59074488
29,915,28,32.02,2,Beach,U-R,South Beach,1,N31́ 23.376' ,W81́ 15.892',2,"2018-10-21, 11:07 AM",713.7129881,-81.26487203,31.389602,3.141790821,74.00948878
30,916,41,46.52,1,Beach,D-R,South Beach,1,N31́ 23.375' ,W81́ 15.890',1,"2018-10-21, 11:09 AM",1489.967546,-81.26482601,31.38957803,2.510350703,68.90397846
31,917,43,42.78,1,Beach,U-L,South Beach,1,N31́ 23.373' ,W81́ 15.888',3,"2018-10-21, 11:10 AM",1428.643657,-81.26480699,31.38955004,3.131259431,65.88877619
32,918,24,20.16,2,Beach,L,South Beach,1,N31́ 23.372' ,W81́ 15.886',2,"2018-10-21, 11:11 AM",380.7987287,-81.26477103,31.38953998,1.804232418,62.33328999
33,919,40,46.48,2,Beach,L,South Beach,1,N31́ 23.372' ,W81́ 15.887',1,"2018-10-21, 11:13 AM",1463.13269,-81.26478503,31.389529,1.804232418,62.97191364
34,920,10,10.04,3,Beach,R,South Beach,1,N31́ 23.373' ,W81́ 15.892',-2,"2018-10-21, 11:15 AM",81.85042668,-81.26486599,31.389543,2.321130802,70.54380341
35,921,21,34.42,3,Beach,U-L,South Beach,1,N31́ 23.372' ,W81́ 15.893',1,"2018-10-21, 11:16 AM",571.4861771,-81.26488804,31.38953403,2.321130802,71.96624519
36,922,24,20.18,0,Dunes,U,South Beach,1,N31́ 23.378' ,W81́ 15.901',1,"2018-10-21, 11:18 AM",382.2859587,-81.265011,31.38963302,8.006357779,87.35662704
37,923,27,21.52,3,Dunes,D-R,South Beach,1,N31́ 23.383' ,W81́ 15.909',2,"2018-10-21, 11:20 AM",461.7563148,-81.26515802,31.38972304,3.392789016,104.3400262
